act_id,act_ext_key,act_libelle,act_mode_rem,dom_id,tyac_id,Prix
168,A01,Broderie,\N,6,1,41.00
169,A02,Sensibilisation aux contes,\N,6,1,194.00
170,A03,Activité culinaire de Bretagne et d'ailleurs,\N,6,1,0.00
171,A04,Répétitions ,\N,7,10,0.00
172,A05,Autres,\N,9,11,0.00
172,A05,PER ROY,\N,0,0,0.00
173,A06,Théatre,\N,6,1,0.00
165,AS01,Astour - Danse (Adhésion Astour),\N,5,1,0.00
166,AS02,Astour - Musique,\N,5,1,0.00
167,AS03,Astour- Soutien logistique,\N,5,1,0.00
191,AUT01,Adhésion,\N,10,3,0.00
192,AUT02,Réduction-complÃ©ment,\N,11,12,38.00
158,C01,Chant traditionnel en breton,\N,3,1,133.00
159,C02,Chant traditionnel Haute-Bretagne,\N,3,1,133.00
160,C03,Chorale en breton,\N,3,1,93.00
161,C04,Chant marin,\N,3,1,0.00
128,D01,Danse bretonne le mardi,\N,8,1,41.00
129,D02,Danse bretonne débutants - mercredi,\N,8,1,41.00
130,D03,Danse bretonne tous niveaux - jeudi matin,\N,8,1,0.00
131,D04,Danse bretonne débutants - jeudi ,\N,8,1,0.00
132,D05,Danse bretonne non-débutants - mercredi,\N,8,1,41.00
133,D06,Danse bretonne non-débutants - jeudi,\N,8,1,0.00
134,D07,Danse écossaise / Folk,\N,8,1,41.00
135,D08,Danse irlandaise,\N,8,1,61.00
136,D09,Multi-activités enfant,\N,8,1,102.00
137,D10,Sensibilisation Ã  l'animation,\N,9,1,0.00
162,L01,Cours de langue bretonne,\N,4,1,153.00
163,L02,Cours de langue gallèse,\N,4,1,83.00
164,L03,Stages de Gallo avec Nânon,\N,4,4,83.00
138,M01,Accordéon diatonique,\N,1,1,340.00
139,M02,Biniou kozh/ Veuze,\N,1,1,340.00
140,M03,Bohdran,\N,1,1,133.00
141,M04,Bombarde,\N,1,1,340.00
142,M05,Clarinette,\N,1,1,340.00
143,M06,Cornemuse,\N,1,1,0.00
144,M06a,Flûte - Tin Whistle,\N,1,1,340.00
145,M06b,Flûte - Low Whistle,\N,1,1,340.00
146,M07,Flûte traversière,\N,1,1,340.00
147,M08,Guitare,\N,1,1,340.00
148,M09,Harpe celtique,\N,1,1,340.00
149,M10,Saxophone,\N,1,1,340.00
150,M11,Violon,\N,1,1,340.00
151,M12,Musique bretonne en ensemble - Ado,\N,2,1,0.00
152,M13,Musique bretonne en ensemble ,\N,2,1,240.00
153,M14,Musique bretonne en acoustique,\N,2,1,240.00
154,M15,Musique irlandaise en ensemble,\N,2,1,240.00
155,M16,Sonneurs de couple biniou - bombarde,\N,2,1,340.00
156,M17,Sonneurs de couple cornemuse - bombarde,\N,2,1,0.00
157,M18,Musique Ã©cossaise,\N,2,1,240.00
